link,name,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
http://sofifa.com/player/184144/nicolas-gaitan/19/159481/,Nicolas Gaitan (Osvaldo Nicolas Fabian Gaitan),80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,69,40,77,82,71,80,35,42,43,8,11,9,7,5
http://sofifa.com/player/226226/giovani-lo-celso/19/159481/,Giovani Lo Celso,77,78,57,82,69,84,82,71,83,85,77,80,82,82,81,81,64,80,69,76,65,65,79,84,65,79,61,68,64,10,7,10,15,14
http://sofifa.com/player/170481/ezequiel-garay/19/159481/,Ezequiel Garay (Ezequiel Marcelo Garay),62,58,80,69,49,60,55,74,72,70,38,41,54,76,36,80,79,70,88,64,77,83,42,63,69,77,82,83,81,14,6,13,13,14
http://sofifa.com/player/158963/lucas-biglia/19/159481/,Lucas Biglia (Lucas Rodrigo Biglia),74,50,54,86,78,80,71,76,82,84,65,65,76,80,78,77,62,75,65,75,83,82,50,80,72,80,80,78,74,14,12,7,12,7
http://sofifa.com/player/215316/geronimo-rulli/19/159481/,Geronimo Rulli,12,15,12,32,16,14,19,20,23,15,54,48,58,76,50,24,65,42,73,17,26,21,12,58,24,61,15,13,17,83,77,77,75,86
http://sofifa.com/player/224334/marcos-acuna/19/159481/,Marcos Acuna (Marcos Javier Acuna),87,66,63,78,68,87,87,78,76,85,79,75,84,80,86,83,69,90,84,84,88,76,77,82,74,88,78,80,75,8,14,13,13,14
http://sofifa.com/player/207471/franco-vazquez/19/159481/,Franco Vazquez,73,74,68,84,81,84,79,68,78,85,58,62,69,78,39,76,50,68,79,84,78,57,77,84,67,80,50,43,42,14,15,13,9,7
http://sofifa.com/player/142707/lisandro-lopez/19/159481/,Lisandro Lopez,66,86,79,75,74,78,78,73,71,82,77,83,84,77,80,77,84,75,75,75,61,52,84,72,85,85,35,58,34,8,10,11,13,6
http://sofifa.com/player/170368/erik-lamela/19/159481/,Erik Lamela,77,74,69,82,77,85,83,80,73,84,76,74,75,78,74,81,63,78,68,82,84,45,79,83,75,78,48,51,42,10,15,11,8,13
http://sofifa.com/player/214997/angel-correa/19/159481/,Angel Correa,74,82,67,74,79,87,82,65,65,87,87,82,87,82,83,80,50,74,63,83,41,48,79,78,55,74,58,53,44,13,10,9,8,16
http://sofifa.com/player/215057/ivan-marcone/19/159481/,Ivan Marcone,58,48,73,81,49,77,59,60,83,78,54,34,60,80,60,73,35,86,85,66,84,76,58,75,59,80,72,80,71,16,11,12,16,10
http://sofifa.com/player/215061/dario-benedetto/19/159481/,Dario Benedetto,55,84,76,71,73,75,69,60,66,79,78,82,77,76,73,83,86,72,77,80,66,35,82,69,76,81,45,25,25,10,14,12,8,11
http://sofifa.com/player/215330/joaquin-correa/19/159481/,Joaquin Correa,74,77,68,78,75,87,79,63,69,86,83,87,84,77,67,78,64,75,74,71,48,36,77,77,57,73,39,37,26,11,10,7,8,8
http://sofifa.com/player/193061/roberto-pereyra/19/159481/,Roberto Pereyra,78,74,60,82,73,85,78,72,75,84,75,76,75,74,73,68,65,77,63,74,66,70,76,80,72,78,50,64,70,4,5,3,4,8
http://sofifa.com/player/231478/lautaro-martinez/19/159481/,Lautaro Martinez,56,82,79,66,68,81,71,33,50,79,82,83,79,78,73,79,81,75,86,68,74,31,82,72,66,77,46,22,25,11,8,8,8,13
http://sofifa.com/player/214584/franco-armani/19/159481/,Franco Armani,18,11,19,34,18,19,14,16,21,32,40,40,40,78,34,25,65,28,82,17,35,21,18,55,20,51,10,13,18,78,75,70,81,86
http://sofifa.com/player/188988/manuel-lanzini/19/159481/,Manuel Lanzini,74,70,56,80,61,86,76,76,77,85,84,76,85,72,89,75,75,73,39,75,48,27,73,79,73,77,27,36,25,14,9,6,7,15
http://sofifa.com/player/173373/sergio-romero/19/159481/,Sergio Romero (Sergio German Romero),11,14,12,39,17,12,12,13,48,40,47,44,55,80,44,14,63,35,75,11,33,21,11,55,16,62,14,11,15,78,76,81,78,83
http://sofifa.com/player/193601/german-pezzella/19/159481/,German Pezzella (German Alejandro Pezzella),40,48,82,64,40,54,46,25,56,66,60,58,34,77,48,54,82,63,82,50,82,80,47,22,35,72,78,82,78,7,9,13,10,15
http://sofifa.com/player/207439/leandro-paredes/19/159481/,Leandro Paredes,76,55,60,84,71,78,79,78,82,82,75,69,77,74,77,82,61,79,69,77,83,72,74,82,57,74,73,75,75,9,14,6,9,10
http://sofifa.com/player/172114/diego-valeri/19/159481/,Diego Valeri (Diego Hernan Valeri),77,2,71,79,75,79,80,81,1,81,61,60,73,80,73,83,68,81,64,84,53,36,83,1,78,83,39,40,30,15,15,8,10,12
http://sofifa.com/player/183900/diego-perotti/19/159481/,Diego Perotti,79,66,57,80,60,88,72,64,69,88,81,76,83,76,78,73,64,69,60,71,51,36,78,81,90,80,58,31,22,5,8,14,6,8
http://sofifa.com/player/179847/federico-fazio/19/159481/,Federico Fazio (Federico Julian Fazio),44,41,89,64,35,48,46,37,60,70,36,39,29,76,32,63,41,72,91,26,84,80,32,47,26,80,81,84,77,8,9,12,11,14
http://sofifa.com/player/142754/javier-mascherano/19/159481/,Javier Mascherano (Javier Alejandro Mascherano),63,42,66,79,51,58,63,50,75,80,69,62,72,79,78,76,80,76,72,55,88,85,51,68,60,81,78,81,82,6,10,8,5,5
http://sofifa.com/player/186547/mateo-musacchio/19/159481/,Mateo Musacchio (Mateo Pablo Musacchio),55,40,76,69,36,65,53,45,67,67,69,69,73,76,68,57,83,68,76,53,76,84,50,64,57,76,84,84,80,5,11,12,6,12
http://sofifa.com/player/176376/ignacio-piatti/19/159481/,Ignacio Piatti,69,81,54,78,77,86,80,55,74,84,1,2,1,1,1,84,1,3,73,80,1,2,82,77,80,82,61,2,2,14,13,7,7,15
http://sofifa.com/player/190972/eduardo-salvio/19/159481/,Eduardo Salvio (Eduardo Antonio Salvio),74,74,73,75,72,85,79,64,64,84,87,84,83,77,76,80,87,74,63,72,69,60,83,74,76,84,49,60,56,9,11,9,5,14
http://sofifa.com/player/176915/augusto-fernandez/19/159481/,Augusto Fernandez (Augusto Matias Fernandez),70,69,59,81,57,77,65,61,80,81,69,71,75,77,79,74,59,75,73,73,80,77,75,79,62,81,68,76,64,9,13,6,16,9
http://sofifa.com/player/215353/lucas-alario/19/159481/,Lucas Alario,48,84,81,69,76,75,49,43,48,79,71,73,72,71,71,75,90,71,78,62,72,22,85,65,75,74,22,27,20,8,15,7,15,15
http://sofifa.com/player/207939/guido-pizarro/19/159481/,Guido Pizarro,62,59,68,79,62,69,66,54,73,74,62,52,62,71,44,69,74,90,80,65,87,80,67,71,60,75,74,80,76,7,12,16,15,7
http://sofifa.com/player/226377/gonzalo-martinez/19/159481/,Gonzalo Martinez (Gonzalo Nicolas Martinez),74,73,32,70,74,85,78,73,68,81,90,87,91,80,87,80,53,76,61,82,48,26,75,72,80,82,47,28,30,6,9,13,12,15
http://sofifa.com/player/183892/gabriel-mercado/19/159481/,Gabriel Mercado (Gabriel Ivan Mercado),68,60,76,71,66,57,68,54,65,69,75,75,66,72,60,68,76,77,82,58,81,80,63,60,49,69,77,80,78,12,16,10,12,6
http://sofifa.com/player/159065/ezequiel-lavezzi/19/159481/,Ezequiel Lavezzi (Ezequiel Ivan Lavezzi),77,80,57,80,77,82,83,79,65,83,85,83,87,81,85,79,82,68,71,78,73,31,82,83,69,78,40,40,37,6,15,11,9,12
http://sofifa.com/player/201862/marcos-rojo/19/159481/,Marcos Rojo (Faustino Marcos Alberto Rojo),74,50,78,72,48,64,67,57,73,67,68,69,68,74,63,80,82,65,77,63,92,77,57,57,55,73,76,79,80,7,8,12,15,10
http://sofifa.com/player/215223/walter-benitez/19/159481/,Walter Benitez,12,14,13,26,13,15,19,17,27,14,48,48,43,72,40,25,57,42,80,14,28,21,18,46,25,62,17,20,17,78,79,72,79,81
http://sofifa.com/player/184252/lucas-pratto/19/159481/,Lucas Pratto (Lucas David Pratto),70,77,79,71,74,75,67,56,70,77,68,74,71,76,61,86,76,75,91,76,84,54,81,79,78,78,57,46,60,8,15,6,15,15
http://sofifa.com/player/191180/javier-pastore/19/159481/,Javier Pastore (Javier Matias Pastore),77,70,61,84,78,83,83,69,80,85,65,67,79,73,63,78,49,55,64,74,62,69,74,82,73,78,45,59,51,14,9,6,10,12
http://sofifa.com/player/224254/cristian-pavon/19/159481/,Cristian Pavon (Cristian David Pavon),76,72,48,76,57,79,72,77,68,76,93,90,92,77,85,84,65,92,73,82,56,49,78,77,59,68,65,40,33,11,10,9,13,7
http://sofifa.com/player/146963/javier-pinola/19/159481/,Javier Pinola (Javier Horacio Pinola),65,38,74,76,48,65,65,55,68,67,68,70,65,75,67,71,81,67,81,59,82,76,59,58,45,66,79,77,74,8,12,11,7,11
http://sofifa.com/player/205849/esteban-andrada/19/159481/,Esteban Andrada,15,14,13,32,18,16,14,15,31,20,45,44,34,72,43,17,54,45,59,13,24,25,19,48,19,43,18,20,14,79,75,73,77,81
http://sofifa.com/player/171828/ignacio-scocco/19/159481/,Ignacio Scocco (Ignacio Martin Scocco),65,80,55,73,79,81,81,79,72,82,78,78,78,75,84,82,67,71,70,79,71,33,81,72,78,79,37,30,28,14,12,14,6,12
http://sofifa.com/player/196432/enzo-perez/19/159481/,Enzo Perez,68,68,65,82,64,75,62,63,76,76,75,74,76,76,79,75,75,76,74,72,89,74,75,76,74,76,77,76,75,9,11,7,15,13
http://sofifa.com/player/153177/mauro-zarate/19/159481/,Mauro Zarate (Mauro Matias Zarate),65,80,55,74,75,86,81,82,58,85,82,77,88,76,73,78,70,72,66,83,66,38,78,68,72,73,55,30,30,7,16,16,6,12
http://sofifa.com/player/183899/pablo-piatti/19/159481/,Pablo Piatti (Pablo Daniel Piatti),78,76,71,76,72,81,80,58,70,75,87,84,81,75,91,63,76,66,50,72,55,51,77,75,64,68,52,35,38,10,8,13,8,10
http://sofifa.com/player/142966/jesus-datolo/19/159481/,Jesus Datolo (Jesus Alberto Datolo),77,71,57,79,66,79,83,77,79,79,69,66,84,71,68,77,55,65,66,77,46,57,75,80,75,72,31,49,46,10,8,11,14,13
http://sofifa.com/player/215162/alejandro-donatti/19/159481/,Alejandro Donatti,38,53,86,70,36,50,68,76,68,62,49,54,52,71,34,80,83,70,85,67,76,78,55,35,48,59,79,75,75,13,10,6,15,12
http://sofifa.com/player/216700/maximiliano-meza/19/159481/,Maximiliano Meza (Maximiliano Eduardo Meza),72,73,67,76,66,86,82,76,68,79,80,82,87,73,75,76,67,81,70,74,73,31,71,76,54,73,68,37,32,9,9,16,12,11
http://sofifa.com/player/235926/matias-zaracho/19/159481/,Matias Zaracho,66,64,49,83,58,83,65,58,73,79,88,84,91,72,90,62,59,77,56,62,60,59,70,73,57,84,65,67,62,8,14,12,6,9
http://sofifa.com/player/219576/rodrigo-battaglia/19/159481/,Rodrigo Battaglia (Rodrigo Andres Battaglia),46,61,68,78,53,74,45,59,76,76,65,68,60,75,61,76,70,85,78,78,87,82,75,72,57,73,81,83,76,7,7,7,9,9
http://sofifa.com/player/214206/german-cano/19/159481/,German Cano (German Ezequiel Cano),44,83,73,69,78,73,66,56,61,78,70,74,75,76,71,82,73,73,68,73,48,35,81,68,81,78,44,23,19,14,10,8,6,13
http://sofifa.com/player/160741/david-abraham/19/159481/,David Abraham (David Angel Abraham),44,46,78,73,65,44,45,67,75,59,76,79,61,76,55,74,77,68,80,63,79,75,31,49,54,78,77,81,77,6,10,12,9,8
http://sofifa.com/player/214766/carlos-izquierdoz/19/159481/,Carlos Izquierdoz (Carlos Roberto Izquierdoz),44,45,82,66,50,36,32,26,57,62,52,50,36,76,52,55,85,84,80,54,74,80,35,33,51,58,78,79,78,8,11,7,8,8
http://sofifa.com/player/216816/giovanni-simeone/19/159481/,Giovanni Simeone (Giovanni Pablo Simeone),40,79,80,68,72,76,69,60,55,76,79,78,76,76,74,79,84,74,72,66,70,24,80,60,71,76,51,29,26,12,15,9,14,11
http://sofifa.com/player/216054/nery-dominguez/19/159481/,Nery Dominguez,58,61,68,77,43,66,44,56,80,75,59,58,60,73,60,77,71,80,79,69,69,75,56,80,55,73,77,77,78,15,13,12,11,16
http://sofifa.com/player/143121/jose-sosa/19/159481/,Jose Sosa (Jose Ernesto Sosa),78,60,50,80,77,82,86,85,78,82,67,72,74,76,76,79,47,68,65,74,69,63,74,80,74,78,65,62,60,11,15,13,6,9
http://sofifa.com/player/176919/nahuel-guzman/19/159481/,Nahuel Guzman (Nahuel Ignacio Guzman),20,10,15,40,12,21,18,22,46,25,51,52,70,75,57,25,66,38,79,17,33,29,19,55,12,65,26,13,12,76,75,67,80,78
http://sofifa.com/player/188955/gustavo-bou/19/159481/,Gustavo Bou (Gustavo Leonardo Bou),69,77,74,71,70,77,66,71,61,77,78,78,74,74,76,80,77,79,75,73,52,39,78,71,71,78,19,22,21,6,6,15,16,7
http://sofifa.com/player/215079/pablo-perez/19/159481/,Pablo Perez,67,61,58,78,39,72,65,72,76,79,69,69,72,80,74,69,60,74,78,65,92,72,69,80,59,74,70,75,72,10,7,16,15,14
http://sofifa.com/player/232244/santiago-ascacibar/19/159481/,Santiago Ascacibar (Santiago Lionel Ascacibar),51,39,55,71,47,65,47,41,67,66,75,65,78,74,87,53,82,93,61,64,90,84,31,60,48,65,81,80,78,6,10,5,14,9
http://sofifa.com/player/139064/leonardo-ponzio/19/159481/,Leonardo Ponzio (Leonardo Daniel Ponzio),67,47,62,74,41,64,57,66,76,72,64,42,72,73,71,77,75,72,73,66,88,79,67,68,70,80,79,77,78,16,9,10,14,12
http://sofifa.com/player/219455/jonathan-calleri/19/159481/,Jonathan Calleri,56,76,83,66,71,74,57,35,58,75,71,72,72,77,79,78,83,74,71,69,68,37,79,67,72,74,55,39,32,11,12,8,8,6
http://sofifa.com/player/205632/lucas-ocampos/19/159481/,Lucas Ocampos,75,73,77,74,75,74,72,65,70,76,78,79,77,83,58,77,76,89,78,69,83,67,71,71,70,76,63,52,48,11,8,15,12,7
http://sofifa.com/player/205633/lucas-castro/19/159481/,Lucas Castro,78,58,58,80,67,80,76,68,76,82,76,73,78,73,78,77,66,72,68,74,65,72,75,77,68,75,52,70,70,6,7,9,15,5
http://sofifa.com/player/211267/ricardo-centurion/19/159481/,Ricardo Centurion (Adrian Ricardo Centurion),68,72,61,68,60,83,68,73,66,77,91,90,89,74,88,68,60,86,57,70,63,38,67,74,67,75,28,37,38,7,6,7,11,8
http://sofifa.com/player/226378/ramon-abila/19/159481/,Ramon Abila,51,80,76,64,72,69,52,48,52,76,68,67,67,73,82,83,72,68,89,57,76,19,81,51,75,72,35,23,22,16,14,15,14,15
http://sofifa.com/player/226379/marcos-diaz/19/159481/,Marcos Diaz (Marcos Guillermo Diaz),17,11,15,24,11,13,13,15,21,16,39,39,30,73,35,25,53,35,74,13,43,18,14,38,23,33,17,21,22,75,73,62,82,78
http://sofifa.com/player/152912/jose-sand/19/159481/,Jose Sand (Jose Gustavo Sand),53,83,82,70,78,69,60,66,46,77,44,48,53,83,50,77,71,62,82,72,75,33,84,70,84,83,44,24,28,11,16,15,9,14
http://sofifa.com/player/152916/rubens-sambueza/19/159481/,Rubens Sambueza (Rubens Omar Oscar Sambueza),78,70,57,79,61,77,82,77,78,82,69,70,69,75,73,75,67,79,78,72,86,60,68,80,73,83,33,48,46,8,6,8,9,16
http://sofifa.com/player/223061/franco-cervi/19/159481/,Franco Cervi,72,65,48,71,55,85,78,76,63,80,93,90,91,75,91,68,69,66,33,64,71,59,72,71,56,77,42,50,53,12,8,9,11,10
http://sofifa.com/player/215135/leonardo-sigali/19/159481/,Leonardo Sigali,30,40,79,40,29,34,31,32,36,58,67,63,52,74,61,45,90,52,77,26,80,80,45,32,42,61,81,81,78,11,8,10,15,13
http://sofifa.com/player/225659/guido-rodriguez/19/159481/,Guido Rodriguez,59,43,70,75,47,59,49,42,72,73,53,54,54,73,52,68,45,77,81,59,83,78,50,63,53,68,79,76,76,12,11,14,16,6
http://sofifa.com/player/142721/marcelo-barovero/19/159481/,Marcelo Barovero,14,13,13,36,18,19,19,19,23,12,35,35,32,77,59,14,77,34,43,19,34,16,17,51,20,65,19,16,14,76,74,69,78,77
http://sofifa.com/player/201095/agustin-marchesin/19/159481/,Agustin Marchesin,18,14,11,37,15,24,16,15,34,20,49,52,68,75,60,12,75,38,59,12,45,15,18,65,14,64,22,15,15,73,74,74,79,81
http://sofifa.com/player/212616/rodrigo-javier-de-paul/19/159481/,Rodrigo Javier De Paul,76,68,50,79,57,84,80,68,73,82,78,74,78,72,72,78,58,70,68,79,56,28,75,77,70,76,24,44,40,13,12,10,7,14
http://sofifa.com/player/188042/matias-suarez/19/159481/,Matias Suarez (Matias Ezequiel Suarez),71,76,64,72,75,80,72,70,69,81,73,70,80,79,77,80,68,58,73,75,50,18,81,76,70,82,33,29,23,9,16,11,13,8
http://sofifa.com/player/143001/carlos-tevez/19/159481/,Carlos Tevez (Carlos Alberto Tevez),71,77,54,79,74,78,74,68,65,76,73,70,76,72,74,82,53,73,74,70,77,34,77,75,72,79,35,51,50,4,2,3,2,4
http://sofifa.com/player/210333/alexander-szymanowski/19/159481/,Alexander Szymanowski,78,78,67,74,66,79,69,57,63,76,89,83,83,72,87,68,52,68,60,68,55,28,75,76,70,71,35,42,45,11,8,10,12,6
http://sofifa.com/player/152993/renato-civelli/19/159481/,Renato Civelli,53,54,85,64,55,35,37,47,59,67,49,36,33,68,37,66,72,66,94,57,83,73,48,50,58,74,77,79,67,13,6,16,14,10
http://sofifa.com/player/152997/dario-cvitanich/19/159481/,Dario Cvitanich,64,79,79,73,71,70,67,66,65,83,68,62,72,74,79,71,81,69,75,67,68,33,81,74,79,77,31,32,34,15,12,15,12,11
http://sofifa.com/player/152999/rodrigo-palacio/19/159481/,Rodrigo Palacio (Rodrigo Sebastian Palacio),70,76,74,76,76,82,78,67,56,84,79,77,79,76,81,70,76,65,61,60,78,39,80,77,79,82,40,33,30,17,14,17,17,17
http://sofifa.com/player/200875/emmanuel-gigliotti/19/159481/,Emmanuel Gigliotti,51,84,78,66,73,65,57,49,46,75,61,63,68,72,62,78,77,78,79,67,71,35,82,71,63,71,59,35,24,11,9,14,13,6
http://sofifa.com/player/213432/facundo-ferreyra/19/159481/,Facundo Ferreyra,49,80,82,67,70,74,48,42,53,76,68,69,78,75,68,75,68,72,73,68,58,23,80,66,70,79,22,29,26,11,11,8,14,15
http://sofifa.com/player/214968/federico-mancuello/19/159481/,Federico Mancuello,76,68,62,78,46,74,80,81,78,76,73,76,74,76,75,80,60,72,70,81,73,67,76,80,63,74,58,64,61,12,10,14,6,9
http://sofifa.com/player/221634/luciano-acosta/19/159481/,Luciano Acosta (Luciano Federico Acosta),61,2,53,77,67,82,74,62,70,77,87,78,4,74,4,71,57,76,49,67,69,44,74,3,54,73,47,47,33,13,9,6,12,10
http://sofifa.com/player/239301/lisandro-martinez/19/159481/,Lisandro Martinez,68,51,71,75,49,71,57,53,72,72,76,74,72,74,76,67,80,78,73,52,73,81,62,66,55,74,75,80,78,6,14,13,14,8
http://sofifa.com/player/215256/renzo-saravia/19/159481/,Renzo Saravia,73,34,59,73,32,78,57,58,68,74,88,89,78,75,73,51,82,91,70,37,84,75,72,60,52,69,74,74,73,12,12,16,12,15
http://sofifa.com/player/216796/federico-cartabia/19/159481/,Federico Cartabia (Federico Nicolas Cartabia),75,75,53,76,59,79,77,72,72,78,79,72,80,75,90,80,63,72,34,75,80,34,73,73,66,67,63,35,27,8,6,6,16,14
http://sofifa.com/player/199667/ramiro-funes-mori/19/159481/,Ramiro Funes Mori (Jose Ramiro Funes Mori),66,40,79,70,25,63,49,58,62,69,61,68,65,67,61,70,77,74,78,56,83,76,49,59,52,64,75,77,74,9,9,13,10,7
http://sofifa.com/player/173306/cristian-ansaldi/19/159481/,Cristian Ansaldi (Cristian Daniel Ansaldi),79,57,65,77,58,79,76,47,76,79,75,78,77,79,68,66,72,78,68,66,78,76,68,73,52,81,76,79,79,15,15,11,8,8
http://sofifa.com/player/198140/rogelio-funes-mori/19/159481/,Rogelio Funes Mori (Rogelio Gabriel Funes Mori),65,80,77,70,72,75,75,58,65,73,78,75,77,78,72,72,79,79,78,67,78,49,80,72,70,76,25,45,44,8,10,15,6,15
http://sofifa.com/player/219391/gonzalo-escalante/19/159481/,Gonzalo Escalante,62,66,63,76,59,67,63,52,73,72,71,72,66,72,70,79,76,84,73,63,85,78,64,70,64,74,74,76,77,10,12,7,12,11
http://sofifa.com/player/201988/federico-fernandez/19/159481/,Federico Fernandez,23,26,77,68,21,39,49,40,58,65,47,50,48,71,48,27,76,65,78,29,79,76,36,44,42,71,76,78,77,12,12,13,14,12
http://sofifa.com/player/200197/nicolas-blandi/19/159481/,Nicolas Blandi,55,80,80,68,77,65,55,54,60,78,64,61,76,78,57,76,84,74,68,72,49,43,83,45,74,79,33,30,27,13,10,15,15,15
http://sofifa.com/player/215051/lisandro-lopez/19/159481/,Lisandro Lopez,33,48,79,66,50,59,37,32,56,62,64,66,64,73,55,67,84,55,77,44,77,77,38,41,46,73,76,76,75,14,12,8,6,13
http://sofifa.com/player/215071/milton-casco/19/159481/,Milton Casco,74,58,62,73,39,76,68,58,67,73,85,86,85,72,82,83,80,92,72,71,80,73,73,66,50,74,69,71,72,15,8,13,12,6
http://sofifa.com/player/221219/german-conti/19/159481/,German Conti (German Andres Conti),32,37,77,68,32,42,40,31,63,53,64,72,51,76,41,50,70,68,78,30,76,74,32,51,47,72,76,80,76,14,8,12,16,13
http://sofifa.com/player/211263/lisandro-magallan/19/159481/,Lisandro Magallan,45,35,75,66,27,57,32,34,56,62,53,62,65,70,65,50,90,78,82,33,84,77,34,44,44,66,77,75,71,7,9,7,14,16
http://sofifa.com/player/211269/guillermo-fernandez/19/159481/,Guillermo Fernandez (Guillermo Matias Fernandez),72,66,47,74,51,78,75,75,73,76,77,73,75,76,66,76,64,80,70,77,61,54,71,76,68,70,68,73,67,9,14,6,11,6
http://sofifa.com/player/183895/maxi-moralez/19/159481/,Maxi Moralez (Maximiliano Nicol Moralez),74,72,56,74,70,77,76,70,73,76,84,67,83,74,77,69,32,77,33,70,65,45,74,77,74,76,48,58,51,6,5,14,14,9
http://sofifa.com/player/231521/exequiel-palacios/19/159481/,Exequiel Palacios,67,71,59,76,57,76,68,42,74,77,76,78,79,73,77,80,72,85,65,78,73,68,73,75,59,77,66,70,68,10,5,8,9,6
http://sofifa.com/player/217196/jose-luis-palomino/19/159481/,Jose Luis Palomino,60,26,77,66,32,56,55,36,60,64,63,49,46,76,44,48,33,72,86,29,78,80,28,30,44,68,74,78,78,9,16,9,8,11
http://sofifa.com/player/188268/lautaro-acosta/19/159481/,Lautaro Acosta (Lautaro German Acosta),65,75,63,69,73,81,65,45,66,78,90,90,90,79,91,76,83,74,47,69,78,47,77,74,64,80,42,35,26,12,6,14,12,9
http://sofifa.com/player/190577/sebastian-blanco/19/159481/,Sebastian Blanco (Sebastian Marcelo Blanco),71,70,66,76,76,77,65,60,72,76,77,78,87,77,79,81,65,85,59,79,80,33,73,74,62,63,30,22,32,9,7,9,13,12
http://sofifa.com/player/165501/nicolas-pareja/19/159481/,Nicolas Pareja (Nicolas Martin Pareja),65,51,78,76,49,59,70,76,75,76,37,31,38,77,61,75,68,32,71,69,81,79,43,56,69,80,75,78,72,14,14,15,14,13
http://sofifa.com/player/192906/luis-miguel-rodriguez/19/159481/,Luis Miguel Rodriguez,71,80,65,70,66,77,79,73,70,78,69,69,72,77,77,80,75,53,61,78,72,15,80,79,71,81,21,16,22,7,7,14,10,13
http://sofifa.com/player/191628/leandro-chichizola/19/159481/,Leandro Chichizola,11,16,17,14,14,17,15,14,13,15,49,54,66,69,44,17,75,31,52,17,15,16,14,42,25,57,15,12,11,77,77,68,75,78
http://sofifa.com/player/219536/ignacio-pussetto/19/159481/,Ignacio Pussetto,65,78,67,68,64,80,43,42,67,77,79,78,77,68,66,74,71,78,74,67,33,12,79,55,69,69,25,18,25,6,14,11,11,10
http://sofifa.com/player/236441/fabricio-bustos/19/159481/,Fabricio Bustos,77,60,58,72,37,77,58,37,55,77,90,84,75,71,71,68,56,88,64,55,69,68,71,68,42,72,69,74,75,14,6,13,15,6
http://sofifa.com/player/183966/facundo-roncaglia/19/159481/,Facundo Roncaglia (Facundo Sebastian Roncaglia),68,38,70,69,28,59,67,52,81,69,63,67,65,73,69,80,80,67,75,73,74,79,51,59,35,73,74,81,77,15,14,15,6,15
