Origin,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,carname
1,16,8,351,149,4335,14.5,77,ford thunderbird
1,24.5,4,151,88,2740,16,77,pontiac sunbird coupe
1,25.5,4,140,89,2755,15.8,77,ford mustang ii 2+2
1,30.5,4,98,63,2051,17,77,chevrolet chevette
1,33.5,4,98,83,2075,15.9,77,dodge colt m/m
1,36.1,4,98,66,1800,14.4,78,ford fiesta
1,19.9,8,260,110,3365,15.5,78,oldsmobile cutlass salon brougham
1,19.4,8,318,140,3735,13.2,78,dodge diplomat
1,20.2,8,302,139,3570,12.8,78,mercury monarch ghia
1,19.2,6,231,105,3535,19.2,78,pontiac phoenix lj
1,20.5,6,200,95,3155,18.2,78,chevrolet malibu
1,20.2,6,200,85,2965,15.8,78,ford fairmont (auto)
1,25.1,4,140,88,2720,15.4,78,ford fairmont (man)
1,20.5,6,225,100,3430,17.2,78,plymouth volare
1,19.4,6,232,90,3210,17.2,78,amc concord
1,20.6,6,231,105,3380,15.8,78,buick century special
1,20.8,6,200,85,3070,16.7,78,mercury zephyr
1,18.6,6,225,110,3620,18.7,78,dodge aspen
1,18.1,6,258,120,3410,15.1,78,amc concord d/l
1,19.2,8,305,145,3425,13.2,78,chevrolet monte carlo landau
1,17.7,6,231,165,3445,13.4,78,buick regal sport coupe (turbo)
1,18.1,8,302,139,3205,11.2,78,ford futura
1,17.5,8,318,140,4080,13.7,78,dodge magnum xe
1,30,4,98,68,2155,16.5,78,chevrolet chevette
1,30.9,4,105,75,2230,14.5,78,dodge omni
1,23.2,4,156,105,2745,16.7,78,plymouth sapporo
1,23.8,4,151,85,2855,17.6,78,oldsmobile starfire sx
1,21.5,6,231,115,3245,15.4,79,pontiac lemans v6
1,19.8,6,200,85,2990,18.2,79,mercury zephyr 6
1,22.3,4,140,88,2890,17.3,79,ford fairmont 4
1,20.2,6,232,90,3265,18.2,79,amc concord dl 6
1,20.6,6,225,110,3360,16.6,79,dodge aspen 6
1,17,8,305,130,3840,15.4,79,chevrolet caprice classic
1,17.6,8,302,129,3725,13.4,79,ford ltd landau
1,16.5,8,351,138,3955,13.2,79,mercury grand marquis
1,18.2,8,318,135,3830,15.2,79,dodge st. regis
1,16.9,8,350,155,4360,14.9,79,buick estate wagon (sw)
1,15.5,8,351,142,4054,14.3,79,ford country squire (sw)
1,19.2,8,267,125,3605,15,79,chevrolet malibu classic (sw)
1,18.5,8,360,150,3940,13,79,chrysler lebaron town @ country (sw)
1,35.7,4,98,80,1915,14.4,79,dodge colt hatchback custom
1,27.4,4,121,80,2670,15,79,amc spirit dl
1,23,8,350,125,3900,17.4,79,cadillac eldorado
1,23.9,8,260,90,3420,22.2,79,oldsmobile cutlass salon brougham
1,34.2,4,105,70,2200,13.2,79,plymouth horizon
1,34.5,4,105,70,2150,14.9,79,plymouth horizon tc3
1,28.4,4,151,90,2670,16,79,buick skylark limited
1,28.8,6,173,115,2595,11.3,79,chevrolet citation
1,26.8,6,173,115,2700,12.9,79,oldsmobile omega brougham
1,33.5,4,151,90,2556,13.2,79,pontiac phoenix
1,32.1,4,98,70,2120,15.5,80,chevrolet chevette
1,28,4,151,90,2678,16.5,80,chevrolet citation
1,26.4,4,140,88,2870,18.1,80,ford fairmont
1,24.3,4,151,90,3003,20.1,80,amc concord
1,19.1,6,225,90,3381,18.7,80,dodge aspen
1,27.9,4,156,105,2800,14.4,80,dodge colt
1,27.2,4,135,84,2490,15.7,81,plymouth reliant
1,26.6,4,151,84,2635,16.4,81,buick skylark
1,25.8,4,156,92,2620,14.4,81,dodge aries wagon (sw)
1,23.5,6,173,110,2725,12.6,81,chevrolet citation
1,30,4,135,84,2385,12.9,81,plymouth reliant
1,39,4,86,64,1875,16.4,81,plymouth champ
1,34.7,4,105,63,2215,14.9,81,plymouth horizon 4
1,34.4,4,98,65,2045,16.2,81,ford escort 4w
1,29.9,4,98,65,2380,20.7,81,ford escort 2h
1,22.4,6,231,110,3415,15.8,81,buick century
1,26.6,8,350,105,3725,19,81,oldsmobile cutlass ls
1,20.2,6,200,88,3060,17.1,81,ford granada gl
1,17.6,6,225,85,3465,16.6,81,chrysler lebaron salon
1,28,4,112,88,2605,19.6,82,chevrolet cavalier
1,27,4,112,88,2640,18.6,82,chevrolet cavalier wagon
1,34,4,112,88,2395,18,82,chevrolet cavalier 2-door
1,31,4,112,85,2575,16.2,82,pontiac j2000 se hatchback
1,29,4,135,84,2525,16,82,dodge aries se
1,27,4,151,90,2735,18,82,pontiac phoenix
1,24,4,140,92,2865,16.4,82,ford fairmont futura
1,38,4,105,63,2125,14.7,82,plymouth horizon miser
1,36,4,98,70,2125,17.3,82,mercury lynx l
1,25,6,181,110,2945,16.4,82,buick century limited
1,38,6,262,85,3015,17,82,oldsmobile cutlass ciera (diesel)
1,26,4,156,92,2585,14.5,82,chrysler lebaron medallion
1,22,6,232,112,2835,14.7,82,ford granada l
1,36,4,135,84,2370,13,82,dodge charger 2.2
1,27,4,151,90,2950,17.3,82,chevrolet camaro
1,27,4,140,86,2790,15.6,82,ford mustang gl
1,32,4,135,84,2295,11.6,82,dodge rampage
1,28,4,120,79,2625,18.6,82,ford ranger
1,31,4,119,82,2720,19.4,82,chevy s-10
