name,year,nominations,rating,duration,genre1,genre2,release,metacritic,synopsis
 A Beautiful Mind,2001,8,8.2,135,Biography,Drama,January,72,After a brilliant but asocial mathematician John Nash accepts secret work in cryptography his life takes a turn for the nightmarish.
 Traffic,2000,5,7.6,147,Crime,Drama,January,86,A conservative judge is appointed by the President to spearhead Americas escalating war against drugs only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug barons wife attempts to carry on the family business.
 American Beauty,1999,8,8.4,122,Drama,Romance,October,86,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.
 Saving Private Ryan,1998,11,8.6,169,Action,Drama,July,90,Following the Normandy Landings a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
 Titanic,1997,14,7.7,194,Drama,Romance,December,74,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.
 The English Patient,1996,12,7.4,162,Drama,Romance,November,87,At the close of WWII a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks revealing an involvement in a fateful love affair.
 Braveheart,1995,10,8.4,178,Biography,Drama,May,68,When his secret bride is executed for assaulting an English soldier who tried to rape her William Wallace begins a revolt against King Edward I of England.
 Forrest Gump,1994,13,8.8,142,Drama,Romance,July,82,Forrest Gump while not intelligent has accidentally been present at many historic moments but his true love Jenny Curran eludes him.
 Schindler's List,1993,12,8.9,195,Biography,Drama,December,93,In Poland during World War II Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
 Unforgiven,1992,10,8.3,131,Western,,August,82,Retired Old West gunslinger William Munny reluctantly takes on one last job with the help of his old partner and a young man.
 The Silence of the Lambs,1991,7,8.6,118,Crime,Drama,February,84,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
 Dances with Wolves,1990,12,8,181,Adventure,Drama,November,72,Lt. John Dunbar exiled to a remote western Civil War outpost befriends wolves and Indians making him an intolerable aberration in the military.
 Born on the Fourth of July,1989,8,7.2,145,Biography,Drama,January,75,The biography of Ron Kovic. Paralyzed in the Vietnam war he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.
 Rain Man,1988,8,8,133,Drama,,December,65,Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
 The Last Emperor,1987,9,7.8,163,Biography,Drama,October,76,The story of the final Emperor of China.
 Platoon,1986,8,8.1,120,Drama,War,February,,A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
Out of Africa,1985,11,7.2,161,Biography,Drama,December,,In 20th-century colonial Kenya a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.
 Amadeus,1984,11,8.3,160,Biography,Drama,October,93,The incredible story of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.
 Terms of Endearment,1983,11,7.4,132,Comedy,Drama,December,79,Follows hard-to-please Aurora looking for love and her daughters family problems.
 Gandhi,1982,11,8.1,191,Biography,Drama,December,,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
 Reds,1981,12,7.5,195,Biography,Drama,December,,A radical American journalist becomes involved with the Communist revolution in Russia and hopes to bring its spirit and idealism to the United States.
 Ordinary People,1980,6,7.8,124,Drama,,February,85,The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the good-natured father and the guilt-ridden younger son.
 Kramer vs. Kramer,1979,9,7.8,105,Drama,,December,77,Ted Kramers wife leaves her husband allowing for a lost bond to be rediscovered between Ted and his son Billy. But a heated custody battle ensues over the divorced couples son deepening the wounds left by the separation.
 The Deer Hunter,1978,9,8.2,183,Drama,War,February,73,An in-depth examination of the ways in which the U.S. Vietnam war impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
 Annie Hall,1977,5,8.1,93,Comedy,Romance,April,,Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
 Rocky,1976,10,8.1,120,Drama,Sport,December,,Rocky Balboa a small-time boxer gets a supremely rare chance to fight the heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect.
 One Flew Over the Cuckoo's Nest,1975,9,8.7,133,Drama,,November,79,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
 The Godfather: Part II,1974,11,9,202,Crime,Drama,December,80,The early life and career of Vito Corleone in 1920s New York is portrayed while his son Michael expands and tightens his grip on his crime syndicate stretching from Lake Tahoe Nevada to pre-revolution 1958 Cuba.
 The Sting,1973,10,8.3,129,Comedy,Crime,December,,In Chicago in September 1936 a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.
 Cabaret,1972,10,7.9,124,Drama,Musical,February,80,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
 The French Connection,1971,8,7.8,104,Action,Crime,October,96,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
 Patton,1970,10,8,172,Biography,Drama,April,91,The World War II phase of the career of the controversial American general George S. Patton.
 Midnight Cowboy,1969,7,7.9,113,Drama,,June,,A naive hustler goes to New York to seek personal fortune but in the process finds himself a new friend.
 Oliver!,1968,11,7.5,153,Drama,Family,September,,Musical adaptation about an orphan who runs away from an orphanage and hooks up with a group of boys trained to be pickpockets by an elderly mentor.
The Graduate,1967,7,8,106,Comedy,Drama,December,77,A disillusioned college graduate finds himself torn between his older lover and her daughter.
 A Man for All Seasons,1966,8,7.9,120,Biography,Drama,May,,The story of Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarriage.
 The Sound of Music,1965,10,8,174,Biography,Drama,March,,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
 My Fair Lady,1964,12,7.9,170,Drama,Family,December,,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.
Tom Jones,1963,10,6.8,128,Adventure,Comedy,December,,"In eighteenth century England ""first cousins"" Tom Jones and Master Blifil grew up together in privilege in the western countryside but could not be more different in nature. Tom the ...                See full summary »"
 Lawrence of Arabia,1962,10,8.4,216,Adventure,Biography,January,100,Follows a brilliant flamboyant and controversial British military figure and his conflicted loyalties during wartime service.
West Side Story,1961,11,7.6,152,Crime,Drama,December,,Two youngsters from rival New York City gangs fall in love but tensions between their respective friends build toward tragedy.
 The Apartment,1960,10,8.3,125,Comedy,Drama,September,,A man tries to rise in his company by letting its executives use his apartment for trysts but complications and a romance of his own ensue.
 Ben-Hur,1959,12,8.1,212,Adventure,Drama,December,,When a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge.
 Gigi,1958,9,6.9,115,Comedy,Musical,August,,Weary of the conventions of Parisian society a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship but it may not stay platonic for long.
 The Bridge on the River Kwai,1957,8,8.2,161,Adventure,Drama,October,,After settling his differences with a Japanese PoW camp commander a British colonel co-operates to oversee his mens construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.
 Giant,1956,10,7.7,201,Drama,,November,,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.
 Marty,1955,8,7.7,90,Drama,Romance,June,,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall in love.
 On the Waterfront,1954,12,8.3,108,Crime,Drama,June,88,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
 From Here to Eternity,1953,13,7.8,118,Drama,Romance,October,,In 1941 Hawaii a private is cruelly punished for not boxing on his units team while his captains wife and second in command are falling in love.
 The Quiet Man,1952,7,7.9,129,Comedy,Drama,September,,A retired American boxer returns to the village of his birth in Ireland where he finds love.
 A Place in the Sun,1951,9,7.8,122,Drama,Film-Noir,October,,A poor boy gets a job working for his rich uncle and ends up falling in love with two women.
 All About Eve,1950,14,8.3,138,Comedy,Drama,January,,An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.
 A Letter to Three Wives,1949,3,7.9,103,Drama,Romance,January,,"A letter is addressed to three wives from their ""best friend"" Addie Ross announcing that she is running away with one of their husbands: but she does not say which one."
 The Treasure of the Sierra Madre,1948,4,8.3,126,Action,Adventure,January,,Fred Dobbs and Bob Curtin two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
 Gentleman's Agreement,1947,8,7.4,118,Drama,,February,,A reporter pretends to be Jewish in order to cover a story on anti-Semitism and personally discovers the true depths of bigotry and hatred.
 The Best Years of Our Lives,1946,8,8.2,172,Drama,Romance,June,,Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.
 The Lost Weekend,1945,7,8,101,Drama,Film-Noir,November,,The desperate life of a chronic alcoholic is followed through a four day drinking bout.
 Going My Way,1944,10,7.3,126,Comedy,Drama,October,,Youthful Father Chuck OMalley led a colorful life of sports song and romance before joining the Roman Catholic clergy but his level gaze and twinkling eyes make it clear that he knows ...                See full summary »
 Casablanca,1943,8,8.6,102,Drama,Romance,January,,Set in Casablanca Morocco during the early days of World War II: An American expatriate meets a former lover with unforeseen complications.
 Mrs. Miniver,1942,12,7.6,134,Drama,Romance,December,,A British family struggles to survive the first months of World War II.
 How Green Was My Valley,1941,10,7.8,118,Drama,Family,April,,At the turn of the century in a Welsh mining village the Morgans (he stern she gentle) raise coal-mining sons and hope their youngest will find a better life.
 The Grapes of Wrath,1940,7,8.1,129,Drama,,March,,A poor Midwest family is forced off of their land. They travel to California suffering the misfortunes of the homeless in the Great Depression.
 Gone With the Wind,1939,13,8.2,238,Drama,Romance,January,,A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.
 You Can't Take it With You,1938,7,8,126,Comedy,Drama,November,,A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.
 The Awful Truth,1937,6,8,91,Comedy,Romance,October,,Unfounded suspicions lead a married couple to begin divorce proceedings whereupon they start undermining each others attempts to find new romance.
 Mr. Deeds Goes to Town,1936,5,8,115,Comedy,Drama,April,,Longfellow Deeds a simple-hearted Vermont tuba player inherits a fortune and has to contend with opportunist city slickers.
 The Informer,1935,6,7.6,91,Drama,,July,,In 1922 an Irish rebel informs on his friend then feels doom closing in.
 It Happened One Night,1934,5,8.2,105,Comedy,Romance,February,,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
 Cavalcade,1933,4,6.1,112,Drama,Romance,April,,A cavalcade of English life from New Years Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War...                See full summary »
 Bad Girl,1931,3,6.7,90,Drama,,August,,A man and woman skeptical about romance nonetheless fall in love and are wed but their lack of confidence in the opposite sex haunts their marriage.
 Skippy,1930,4,6.3,85,Family,Drama,April,,Skippy the mischievous son of a wealthy doctor meets Sooky in poverty-ridden Shantytown and together they try to save Sookys pet from a cruel dogcatcher.
 All Quiet on the Western Front,1929,4,8.1,136,Drama,War,August,,A young soldier faces profound disillusionment in the soul-destroying horror of World War I.
 The Divine Lady,1928,3,6.3,99,Drama,History,,,The story of the romance between Emma Lady Hamilton and British war hero Admiral Horatio Nelson.
