name,year,nominations,rating,duration,genre1,genre2,release,metacritic,synopsis
 Moonstruck,1987,6,7.1,102,Comedy,Drama,January,83,Loretta Castorini a book keeper from Brooklyn New York finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.
Children of a Lesser God,1986,5,7.2,119,Drama,Romance,October,,James is a new speech teacher at a school for the deaf. He falls for Sarah a pupil who decided to stay on at the school rather than venture into the big bad world. She shuns him at first ...                See full summary »
 The Trip to Bountiful,1985,2,7.6,108,Drama,,January,,In 1940s Texas an elderly woman is determined to visit her childhood home for one last time.
 Places in the Heart,1984,7,7.3,111,Drama,,October,,In 1930s Southern US a widow and her family try to run their cotton farm with the help of a disparate group of friends.
 Terms of Endearment,1983,11,7.4,132,Comedy,Drama,December,79,Follows hard-to-please Aurora looking for love and her daughters family problems.
 Sophie's Choice,1982,5,7.7,150,Drama,Romance,December,68,After spending time with his new neighbors an aspiring writer realizes they are harboring deep secrets that will forever change him.
 On Golden Pond,1981,10,7.7,109,Drama,,February,,Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond he and his wife nevertheless agree to care for Billy the son of Chelseas new boyfriend and a most unexpected relationship blooms.
 Coal Miner's Daughter,1980,7,7.5,124,Biography,Drama,March,,Biographical story of Loretta Lynn a legendary country singer that came from poverty to worldwide fame. She rose from humble beginnings in Kentucky to superstardom and changing the sound and style of country music forever.
 Norma Rae,1979,4,7.4,114,Drama,,March,,A young single mother and textile worker agrees to help unionize her mill despite the problems and dangers involved.
 Coming Home,1978,8,7.3,127,Drama,Romance,February,,A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.
 Annie Hall,1977,5,8.1,93,Comedy,Romance,April,,Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
 Network,1976,10,8.1,121,Drama,,November,,A television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit.
 One Flew Over the Cuckoo's Nest,1975,9,8.7,133,Drama,,November,79,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
 Alice Doesn't Live Here Anymore,1974,3,7.4,112,Drama,Romance,May,,A recently widowed woman is on the road with her precocious young son determined to make a new life for herself as a singer.
 A Touch of Class,1973,5,6.5,106,Comedy,Romance,August,,Romantic comedy about a pair of clandestine lovers in a London-Spain tryst.
 Cabaret,1972,10,7.9,124,Drama,Musical,February,80,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
 Klute,1971,2,7.2,114,Crime,Mystery,June,,A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.
 Women in Love,1970,4,7.6,131,Drama,Romance,September,,The battle of the sexes and relationships among the elite of Britians industrial Midlands in the 1920s. Gerald Crich and Rupert Berkin are best friends who fall in love with a pair of ...                See full summary »
 The Prime of Miss Jean Brodie,1969,2,7.7,116,Drama,,June,,A headstrong young teacher in a private school in 1930s Edinburgh ignores the curriculum and influences her impressionable 12 year old charges with her over-romanticized world view.
 The Lion in Winter,1968,7,8.2,134,Biography,Drama,October,,1183 AD: King Henry IIs three sons all want to inherit the throne but he wont commit to a choice. They and his wife variously plot to force him.
Guess Who's Coming to Dinner,1967,10,7.8,108,Comedy,Drama,December,,A couples attitudes are challenged when their daughter introduces them to her African-American fiancé.
 Who's Afraid of Virginia Woolf?,1966,13,8.1,131,Drama,,June,,A bitter aging couple with the help of alcohol use a young couple to fuel anguish and emotional pain towards each other.
 Darling,1965,5,7.2,128,Drama,Romance,September,,A beautiful but amoral model sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.
 Mary Poppins,1964,13,7.8,139,Comedy,Family,September,,A magic nanny comes to work for a cold bankers unhappy family.
Hud,1963,7,7.9,112,Drama,,May,,Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth out for kicks with no regard for the ...                See full summary »
 The Miracle Worker,1962,5,8.1,106,Biography,Drama,July,,The story of Anne Sullivans struggle to teach the blind and deaf Helen Keller how to communicate.
 Two Women,1961, ,7.9,100,Drama,War,December,,In the Italy of WWII a widow and her lonely daughter seek for distance between them and the horrors of war.
 Butterfield 8,1960,2,6.4,109,Drama,,November,,The romantic life of a fashionable Manhattan beauty whos part model part call-girl--and all man-trap.
 Room at the Top,1959,6,7.7,117,Drama,Romance,January,,An ambitious young accountant schemes to wed a wealthy factory owners daughter despite falling in love with a married older woman.
 I Want to Live!,1958,6,7.5,120,Biography,Crime,November,,A prostitute sentenced to death for murder pleads her innocence.
 The Three Faces of Eve,1957, ,7.2,91,Drama,Mystery,September,,A doctor treats a woman suffering from Multiple Personality Disorder.
 Anastasia,1956,2,7.2,105,Biography,Drama,December,,An opportunistic Russian businessman tries to pass a mysterious impostor as the Grand Duchess Anastasia. But she is so convincing in her performance that even the biggest skeptics believe her.
 The Rose Tattoo,1955,8,7.2,117,Comedy,Drama,,,An Italian-American neighborhood in Louisiana is disturbed when truck driver Rosario Delle Rose is killed by police while smuggling. His buxom widow Serafina miscarries then over a period ...                See full summary »
 The Country Girl,1954,7,7.3,104,Drama,Music,May,,A director hires an alcoholic has-been and strikes up a stormy relationship with the actors wife who he believes is the cause of all the mans problems.
 Roman Holiday,1953,10,8.1,118,Comedy,Romance,September,76,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
 Come Back Little Sheba,1952,3,7.8,99,Drama,Romance,December,,An emotionally remote recovering alcoholic and his dowdy unambitious wife face a personal crisis when they take in an attractive lodger.
 A Streetcar Named Desire,1951,12,8.1,122,Drama,,December,,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
 Born Yesterday,1950,5,7.6,103,Comedy,Drama,May,,A million dollar Tycoon hires a tutor to teach his lover proper etiquette.
 The Heiress,1949,8,8.3,115,Drama,Romance,February,,A young naive woman falls for a handsome young man who her emotionally abusive father suspects is a fortune hunter.
 Johnny Belinda,1948,12,7.8,102,Drama,,September,,In post-war Cape Breton a doctors efforts to tutor a deaf/mute woman are undermined when she is raped and the resulting pregnancy causes scandal to swirl.
 The Farmer's Daughter,1947,2,7.4,97,Drama,Romance,March,,Katie Holstrom leaves the farm to become a nurse but is sidetracked into domestic service romance and politics.
 To Each His Own,1946,2,7.8,122,Drama,Romance,March,,An unwed mother forced to give up her child to avoid scandal follows her sons life from afar even as she prospers in business.
 Mildred Pierce,1945,6,8,111,Crime,Drama,,,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
 Gaslight,1944,7,7.9,114,Crime,Drama,May,,Years after her aunt was murdered in her home a young woman moves back into the house with her new husband. However he has a secret that he will do anything to protect even if it means driving his wife insane.
 The Song of Bernadette,1943,12,7.7,156,Biography,Drama,April,,"In 1858 France Bernadette an adolescent peasant girl has a vision of ""a beautiful lady"" in the city dump. She never claims it to be anything other than this but the townspeople all ...                See full summary »"
 Mrs. Miniver,1942,12,7.6,134,Drama,Romance,December,,A British family struggles to survive the first months of World War II.
 Suspicion,1941,3,7.5,99,Mystery,Thriller,November,,A shy young heiress marries a charming gentleman and soon begins to suspect he is planning to murder her.
 Kitty Foyle: The Natural History of a Woman,1940,5,7.1,108,Drama,Romance,December,,Kitty Foyle a hard-working white-collar girl from a Philadelphia Pennsylvania low middle-class family meets and falls in love with young socialite Wyn Strafford but his family is against her.
 Gone With the Wind,1939,13,8.2,238,Drama,Romance,January,,A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.
 Jezebel,1938,5,7.6,104,Drama,Romance,March,,A haughty headstrong Southern Belle in Antebellum Louisiana loses her fiance due to her stubborn vanity and pride and vows to get him back.
 The Good Earth,1937,5,7.8,138,Drama,Romance,August,,The story of a farmer in China: a story of humility and bravery. His father gives Wang Lung a freed slave as wife. By diligence and frugality the two manage to enlarge their property. But ...                See full summary »
 The Great Ziegfeld,1936,7,6.8,176,Biography,Drama,April,,This biography follows the ups and downs of Florenz Ziegfeld famed producer of extravagant stage revues.
 Dangerous,1935, ,7.2,79,Drama,,December,,An alcoholic actress who is considered a dangerous jinx is rehabilitated but she then shows that shes as dangerous as ever.
 It Happened One Night,1934,5,8.2,105,Comedy,Romance,February,,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
 Morning Glory,1933, ,6.6,74,Drama,Romance,August,,When a naively innocent aspiring actress arrives on the Broadway scene she is taken under the wing of several theater veterans who mentor her to ultimate success.
 The Sin of Madelon Claudet,1931, ,6.8,75,Drama,,October,,Out of jail for a crime she did not commit Madelon turns to prostitution and thievery to send her illegitimate son to medical school.
 Min and Bill,1930, ,7.4,69,Comedy,Drama,November,,Min the owner of a dockside hotel is forced to make difficult decisions about the future of Nancy the young woman she took in as an infant.
 The Divorcee,1929,4,6.9,84,Romance,Drama,April,,When a woman discovers that her husband has been unfaithful to her she decides to respond to his infidelities in kind.
 Coquette,1928, ,7.3,76,Drama,Romance,April,,A flirtatious southern belle is compromised with one of her beaus.
 Seventh Heaven (7th Heaven),1927,5,7.8,110,Drama,Romance,,,A street cleaner saves a young womans life and the pair slowly fall in love until war intervenes.
