,ECON101_grade,ENGLISH125_grade,DATASCI306_grade,MATH217_grade,STATS250_grade,EECS545_grade
105,B-,A-,B,B,A,A
106,A+,A-,D-,C+,B-,B+
107,A+,B+,B+,C+,A-,A
108,A,E,A+,A,A,A+
109,A,A,B,B-,C+,C+
110,B,A,B+,A+,A-,A-
111,A,A-,A,B,A,B+
112,B,A,C-,A+,B+,A-
113,B+,A,A-,A+,A-,B
114,C,A-,B+,C+,A,A-
115,B+,A,A,C+,B,A-
116,A-,A+,B+,A,B+,A
117,C,B-,A-,C,B-,A-
118,A+,A,A,D-,B-,A+
119,B+,A,A-,A-,B,B+
120,B+,B-,B,A-,C-,B+
121,B-,A-,A,B+,B,B
122,A+,B+,B+,A-,A-,A-
123,A-,A,B+,C+,A+,B+
124,B+,A,B+,A,B-,A-
125,B+,A,A,A,B,A
126,B-,A,A-,A,B+,B
127,A-,A+,A+,A,C+,A
128,A-,A,B-,C+,A-,B
129,B-,A,B+,A,A,B
130,A-,A,A,A+,B-,A+
131,D+,A+,B,E,B,A-
132,A+,B+,A,B,B-,B+
133,B+,A-,A,C+,B-,B+
134,A-,A-,A-,C+,B,A
135,B+,A,C,B+,A,A-
136,A,A-,C-,A,B+,B-
137,C+,B,C-,A,A-,A
138,B+,A+,C+,B+,A-,A
139,A-,B+,B-,B-,A,A
140,A-,A,B+,D,C+,A-
141,B+,A-,B+,B-,B+,A
142,A-,A,B,A,A-,A-
143,B-,A,C+,D,B-,B+
144,A,B+,E,B,B+,A-
145,A,A+,B-,B,B-,A
146,B-,A,A-,A,A-,A
147,B+,B+,A,C+,D+,A-
148,A-,A,A,E,B,A
149,B,A,C,A,A,A
150,C+,A,B+,A-,B,A
151,A-,A-,B+,E,C+,B+
152,A-,A,A-,A-,B-,A-
153,A-,A,C,B,C-,A-
154,C,A,A,B,B+,A-
155,B,A,A-,B+,C+,A
156,B+,B,A+,B,D,A-
157,A+,A,B-,C+,A-,A
158,C,A-,A+,B-,A,B+
159,B,A,B,A+,B,A
160,A,B+,A,B+,A-,B+
161,A,A,A-,B+,B,A
162,D+,B+,C-,A,B,B
163,A,A,D-,A+,C+,B+
164,B+,A,A-,B+,A,A+
165,B+,A,C-,A-,D+,A-
166,B+,A,C+,A-,B-,B
167,C,A-,A-,B,A-,A+
168,A-,A,A-,A,B,A-
169,E,A,C+,A,C-,A-
170,B,A,C-,A,A-,B+
171,B+,A-,B-,A,B+,B
172,A,A-,A-,A,A-,A+
173,B+,A,A,C,D+,A
174,A-,A,B,E,A-,A-
175,A+,A,C+,A,A-,A-
176,A,A-,B+,C+,A+,A+
177,B+,A,C+,C-,A+,A
178,B,A-,B,B,A,A
179,A+,A-,A,A,A,A
180,A+,A,A+,A,B-,A
181,C+,A+,B-,A,B-,A-
182,A,A,A,A-,A+,B+
183,A-,A,B-,C,A,B+
184,B,A-,A-,A+,B-,B
185,B,A+,B+,B,B,A-
186,A,A-,A,B,C+,B
187,C-,A,A-,A,A+,A-
188,A,A,A-,C+,C+,A+
189,C-,A-,A,A,B+,A-
190,A-,A-,A+,A,A-,A
191,C-,C+,A-,B+,A-,B
192,A,A,E,B,C-,A
193,A+,A,B-,B-,B-,A-
194,A+,A,A-,A-,B-,A+
195,A,A,C+,A,A-,A
196,A,B+,B+,A,A-,A
197,B,A-,B+,C+,C,B+
198,C,B,A+,A+,B+,B+
199,A+,A+,A-,B,B+,B
200,B,A-,C,B,B-,B+
201,C+,A,B,A,B,B+
202,B,A-,A-,B-,A-,B+
203,A-,A-,A+,B-,A,A+
204,B+,A,A-,C,C,A
205,B,A,A+,B+,A-,A
206,A-,A,C,C+,B+,B+
207,B,A-,A-,A+,A,B+
208,A-,B,C,D,A-,A-
209,B+,A,A,B-,B,B
210,A,A,A,B,B-,A
211,B,A,C+,E,B-,A
212,A-,A-,B-,B,C+,A+
213,C,B,C,B+,A-,B+
214,A,A,C+,C,B-,A-
215,A,B,C-,B-,B,A-
216,A,A-,A,B,A,A
217,A-,A,B-,C,C-,B+
218,A-,B+,A,C-,B,B+
219,C,A-,A-,D-,C-,A-
220,A-,B+,C-,B,A-,E
221,B,B+,B+,C,C+,A
222,A,A,B+,C-,C+,B
223,B+,A-,A-,B+,B,A
224,B,A,B,B-,B,A-
225,A-,A,A-,A-,B-,A
226,B-,A,B+,A,A,B+
227,C-,A,C+,A,C,A
228,A,A-,B-,C,B+,A-
229,A,A-,D-,C,C+,B+
230,B-,A,A-,A-,A+,B+
231,C+,B,A-,B+,A-,A
232,C,B,B,C+,A,A-
233,B+,A,A-,B,A+,A
234,A-,A-,B-,C,A-,B
235,B+,A-,D,B,C+,A
236,B-,A-,B-,B+,B-,A-
237,A-,A-,A-,B-,C,A
238,B+,A,B,D-,A,B+
239,D,B+,B+,B,B,B+
240,B+,B+,B,A,A-,A
241,B,A-,A,A-,C+,A+
242,B+,A,A-,A-,B,B+
243,A-,B+,C,B+,C-,A
244,C,A,B,A,A+,A
245,A-,A-,B+,B,A,B+
246,A,A,A,A,B-,A+
247,B+,A,B,A-,A-,B+
248,C,A,A-,B,A,A-
249,A,A,A,A,B,B+
250,A,A-,C-,B,A-,A
251,A+,A,A,A,A-,A
252,A,A,C-,A-,C-,B
253,A-,A+,D,A,A,B+
254,C+,A,A,B,A+,A-
255,B-,A,A-,C+,B,B+
256,B-,A,B-,C,A-,A-
257,D,A,B,A,B,A
258,B+,A,A-,C+,A,A-
259,A-,A-,B+,E,B,B-
260,C+,B+,A+,C,B+,A-
261,C,A-,A,E,A-,A
262,B+,A,B-,B+,B-,A
263,B-,A,C+,C-,A,A
264,B,A-,A-,C,C,A
265,B+,B+,B-,A,A,B+
266,A+,A+,D+,B+,A,B
267,C,A-,D-,B,B-,B
268,B-,B,A,C-,B,A+
269,A-,A,A,C-,A,A
270,A-,A,A,C,B,A
271,B,A,A+,D,A-,A
272,B,A,A,C+,A,B+
273,B,A,B+,C-,A+,B+
274,A-,A,B+,B,C+,A
275,A,A,B,B,A-,A
276,D+,A-,B,B+,A-,A
277,A-,B,A+,A+,B,B
278,B+,A,A-,B+,B+,B+
279,B+,A-,B-,C+,A-,A-
280,A-,A,B+,A-,D,A
281,B-,A,A-,C+,B+,B+
282,A,B+,C,E,A-,A
283,B-,A,B+,A,B-,B
284,C+,B+,B,A-,B,A
285,B,B+,A+,A+,A-,A-
286,A+,A-,A-,A,B+,B
287,A,A,A,A-,A-,B+
288,B-,A-,A,A-,B,A-
289,B+,A,B,A,A+,A-
290,B+,A,C+,A-,A-,A
291,A,B+,A,C,B+,A-
292,B,A-,A-,C-,C+,A-
293,A,A-,B-,C,A-,A
294,B+,B+,A-,A,A,B+
295,B,A,B,D-,B-,B+
296,B+,A,A-,A+,C+,A
297,A-,A,B,C,A-,B
298,A-,B+,B,A-,D,A+
299,A,A-,B,B+,B,A-
300,B-,A-,B,C+,A,A-
301,B+,A,B+,B+,C,A-
302,B+,B,A-,B,B,A+
303,B,A,A,A+,D,B+
304,C-,A-,B,C,B,A
305,B+,C+,A,A+,C+,A+
306,A,A,A-,B-,E,A+
307,B,B+,B+,A,A-,A
308,B-,A-,A,D+,B+,A
309,A-,A-,A-,C-,B,B
310,B,A-,A,C,B+,B
311,C-,A,B-,C+,B,B+
312,A+,A,A-,B+,B+,A-
313,A-,A,A-,A-,A-,A-
314,A-,B,B+,A-,A+,A
315,C+,E,A,C+,A-,A
316,B-,B+,A+,D,C+,A+
317,B,A,A,A-,A,B
318,A,A,A+,E,B,B+
319,A,A-,D,A-,A,A-
320,B-,A-,A,B+,A,A-
321,B,A,B+,B+,A-,B
322,C+,B,B+,C,A-,A-
323,A,B+,A-,C,B-,A-
324,A-,A,B,C+,C-,A-
325,A,A-,A,A,B,B
326,B,B,B-,B+,A,B+
327,B+,A-,A-,C-,D,A
328,B+,A,A,B+,A+,B+
329,C+,A,A-,C,A,A
330,A-,B+,B+,A,C,B
331,A,A,B-,C+,A-,C+
332,C,B,A-,A,A-,A
333,B-,A-,A+,A,A-,A
334,B,B-,B-,C,D+,E
335,C+,A,C,B,B+,A-
336,B-,A,B+,B,D-,A
337,B+,A-,A-,A+,A+,A-
338,A+,B+,A-,A,B,A-
339,C,B+,A-,B+,A+,A
340,C,B+,A-,A,A-,A
341,B-,A,C-,A,B+,A-
342,A-,A+,A,E,C+,A-
343,C-,B+,C+,A+,A-,A
344,A,A,B,A,A-,A-
345,B-,C,A-,C,B+,A
346,A-,B+,B+,C+,A-,A
347,C+,A,B,A,B,A-
348,E,A,A-,A+,B,A
349,A,A-,B-,B,B-,B
350,B+,B+,A-,E,B-,A+
351,C+,A-,A-,B,C,A-
352,B,B,A-,C+,D+,A-
353,B+,B-,B,A-,A,B+
354,C+,A-,A-,A+,A-,A-
355,B,B+,B-,A,A-,A+
356,A-,A,B+,A-,B+,A
357,B-,A,A+,D,B-,B
358,B+,C+,A-,A,B,A
359,B,A-,C,B-,A-,A
360,B,A-,B-,A-,B,A+
361,B+,B+,A,B,E,A-
362,C-,B+,B-,A,A,A-
363,A+,A,B+,B-,C-,B
364,B,A-,B,A,B-,A-
365,B-,A,A-,E,B-,B+
366,C-,A-,A-,B+,C+,A
367,A+,B+,B-,B,A-,B+
368,C+,A-,A,A,B,A
369,B+,A,B,B+,B-,B+
370,A+,E,A,A-,B,B
371,B-,A+,A-,B-,B+,B+
372,C,A,B+,A-,C,B+
373,B,A-,A,A,B,A-
374,C+,A-,D+,A,A,A
375,A,A,B-,A,C+,A
376,A-,B-,B+,C+,C,A
377,A,B+,B+,B,A,A-
378,A-,A-,A-,C+,B-,B+
379,A,A-,A-,A+,C-,A-
380,C,A+,A-,A-,C+,A
381,C+,A,C,A-,C+,B+
382,A+,A-,B-,B,A,A+
383,C+,A-,A-,B-,C,B+
384,B,C+,C,C-,B,A+
385,C,A-,A-,B,A-,B
386,A+,A-,C+,C,A,A
387,A-,A,B+,C,B+,A
388,B+,A,A+,A-,A-,A-
389,B,B+,D+,B+,A,A
390,A-,A+,B+,B,B,A
391,A+,A,B+,A,D+,A
392,B+,A,B+,B,B,A-
393,A-,B+,C+,A,C-,B
394,A+,A,B-,B,A-,A-
395,C,A,A-,A,C+,B
396,A+,A-,A-,C,A,B+
397,A,B,B+,A,B-,B-
398,B,B,A-,A-,A,A
399,A+,A-,C+,B+,B,A
400,B,A-,A,B+,B,B+
401,A,B,B,A-,A-,A
402,A+,A,B,C-,A,B+
403,B,B,A-,D,B+,B-
404,A,A-,B-,B,E,B+
405,B-,A,A-,B+,C,A-
406,A,B,A,A,C+,A
407,C,A,B-,C-,A+,A
408,A,A,C+,C+,C+,B
409,A,A,A-,B,A,A
410,A,A-,D+,B,A,A-
411,A-,A,A+,B+,A+,B
412,B,A,B,A,B+,B+
413,B,A-,A+,A,B+,A-
414,A,A,B+,A,A-,A-
415,B,A+,A,B,B-,A
416,B-,A,D+,B+,A+,A+
417,A,A,C,A+,A-,A
418,A-,A,B,A-,C+,A-
419,A,A,C,B-,A,B
420,A+,A-,A-,B+,C-,B
421,B-,B,C+,B+,B-,A-
422,A,A-,A,C-,A-,A
423,B+,B+,A,C+,C+,A-
424,D,A,B,A+,B,A-
425,B+,B-,B-,C,B-,A-
426,B,A,C+,A,A-,B+
427,C+,A-,B+,B,B+,B+
428,A-,A,A-,A,A,A+
429,B,A,C,B-,B+,A-
430,A,A-,B-,C,B,A-
431,A-,A,C+,A,B+,A
432,C-,A,A-,B-,A-,A-
433,A,A,A,A+,B-,A
434,C+,A-,A-,A,C,B+
435,B,A,B+,B-,C+,A
436,B-,C-,B+,D,A,A+
437,A,B+,A,B+,B-,A
438,B,B+,C-,B,E,A-
439,D,A,A+,B+,C-,B+
440,A+,A+,A+,B,B+,A-
441,A-,A,B+,C,A,B+
442,B+,A+,A,B+,A-,B+
443,A,B+,A-,B+,B,B+
444,A+,A-,A,B+,B+,A
445,A,A-,C,A-,B,A
446,D,B+,B+,A,A+,B+
447,B,B,B,B-,A-,A-
448,B-,A,A+,B+,B-,A-
449,A,A-,C,A,B+,A
450,C+,A-,A+,C,B,A
451,C,A-,A,B+,C+,B+
452,B-,A,B+,A,B+,A-
453,A+,B+,B,E,C+,B
454,C+,C,A+,A+,B+,B
455,A-,A-,B+,A-,A,A-
456,A,A,A,C+,A-,A
457,C+,A,A,A-,C+,A-
458,A+,A,A,A,B,A+
459,A+,A,A,E,B,B+
460,B+,A-,A+,B,B-,A-
461,B+,A-,B+,B+,B+,A-
462,B+,A,A,C,D+,B+
463,B-,A-,C+,B,B-,A
464,A-,B+,B,D,A+,A+
465,A-,B+,A-,B+,B,A
466,C+,A,A,A+,B,B+
467,C+,A-,D-,A+,C+,A+
468,A,B+,D+,A-,A-,B+
469,A,A,A,C,B,A-
470,A-,A,B-,A+,A-,A-
471,A+,B+,A,A-,A,A-
472,B-,A,A-,A-,B+,B+
473,A,A,B,C+,A-,A-
474,B+,A-,C+,C+,C-,B+
475,A,A,A,B+,A-,B
476,A,A,A+,A+,A,A
477,C,A-,B,A-,B+,A-
478,B+,B,A+,B,B,A
479,B+,A-,A,C+,B-,B
480,B+,A+,A-,C-,A-,A+
481,E,A-,A-,A,A,A
482,B,A-,A-,A+,A,A
483,A,B-,B,E,B+,A-
484,A,A-,A+,A-,B,B
485,B-,A-,B-,B,C+,A
486,C-,A-,A,A,A,A-
487,A-,B+,A,D-,A,A+
488,A+,A,A-,A,E,A
489,C+,A,C+,B-,B,A+
490,A-,B,A-,A,D+,A-
491,A,A,A-,B-,B,A
492,A,A,A-,A-,B,A-
493,A,B-,A-,A,B+,A-
494,A-,A,A,B+,A-,A-
495,A-,A,C-,B,B-,B
496,A+,A-,C+,A,A+,A-
497,A-,A,B,E,A-,B+
498,C-,A,A+,A+,A-,B+
499,A-,B,E,B+,A-,A-
500,B+,A,B+,B+,B,B
501,A-,A-,D-,B,C,A+
502,C+,A,B+,B+,C+,A+
503,B+,A,B,B,B-,A-
504,B,A-,B+,B,D+,A-
505,B+,A-,B,C,A,A
506,A+,A-,A+,A,A-,A
507,A+,A,B+,A,A,B+
508,B,B+,A+,B,A,A
509,C,A-,B-,A,C+,B
510,B,B,A,D,A,A
511,B,B+,A,A,B-,A-
512,A,A-,B+,C+,C+,A-
513,A,A,D,A-,C,B+
514,A,C,A,A-,B,B+
515,B+,A,A-,B,A-,A
516,A-,A,A-,B+,B+,A
517,A,A,A-,A-,A,A
518,C+,A,B-,B,A+,A
519,B+,A,C+,A-,C+,B+
520,B,A-,B+,B,A-,B+
521,A,B+,B-,A+,A-,B
522,B-,A,A,B-,A-,A
523,A,A,A-,C-,C-,A-
524,C+,A-,D-,C,A-,B+
525,A,A-,A,A+,B+,A
526,A-,A,B+,B,A+,B+
527,A-,A,A-,B,C+,B
528,B-,B,A,A-,B+,A-
529,A-,A,B+,A-,B-,A
530,B,A-,A,A,B-,A
531,A-,A,C-,B+,C+,A-
532,B,A,B,B+,A+,A-
533,A-,B+,A,B,A-,B+
534,B,B+,C-,A,C+,A+
535,A-,B+,A-,A-,A-,A-
536,B,A-,D+,B+,B+,A-
537,A-,B+,A-,B,B-,A
538,A+,A,A+,A,C,A-
539,B,A,A+,A-,A-,B+
540,C+,A,A,A-,A-,A+
541,B+,A-,A,B-,C+,B+
542,B,A-,B+,E,B,A-
543,B,B+,A-,A,B+,B
544,C,A-,B+,B,B+,A
545,B,A,A-,A,A-,B+
546,C+,A,B+,A+,A-,B
547,B+,C+,B+,A+,C+,A
548,A-,A,A+,C+,B,A+
549,A-,A-,A,B+,A-,A+
550,B-,A-,B+,A,B+,B+
551,B-,A-,A-,C+,A-,A-
552,A+,B-,C+,B-,C+,A-
553,C+,A,B-,B,B+,A-
554,B,A,A-,A,A,B+
555,A-,A,A,C-,B+,A-
556,A,A-,B-,A,C,B
557,B-,A,B-,A,B-,A
558,B-,A,B+,A,B,A
559,C+,A,B-,B,C,B+
560,A,A,C,C,C,A
561,C,B-,A,B+,B-,A-
562,A,A,A,A+,B-,B+
563,B,A-,A,B,A-,A
564,B,A-,A-,A,D+,A-
565,A,A+,A-,B+,E,A-
566,A,A,A+,A,C+,B
567,C,A,A-,B-,A,A
568,A+,A,A-,A-,A-,B+
569,B+,A,A-,C+,B,B
570,A,A,B,A,B-,A-
571,A-,B+,B+,A,B,A-
572,A-,A,C,C,B+,B
573,B,C-,B+,B-,B+,A
574,C+,B,C+,A-,B,A
575,B+,B,B+,C-,A-,A-
576,B+,A,B-,B,A-,A
577,B+,A,B,A-,B-,A-
578,B,A-,C,A,B-,B
579,C+,A-,A,A+,A,A-
580,A+,B+,B-,C+,A-,A-
581,A,A,B,A,D+,A-
582,A,A,A-,C,C+,A
583,D,B+,B+,A,B+,A-
584,B,B,A-,B,B-,A-
585,C+,A+,A-,C,C-,B
586,B-,B+,B+,A-,C-,A-
587,B+,B+,C,B,A-,B
588,A-,A,A-,A,A,A-
589,A-,A,B+,B,B+,A+
590,A-,A,B+,C-,B,A
591,A,A-,B+,D+,B,A+
592,B-,A-,A,A+,B-,B+
593,B+,A-,B+,C+,B+,B+
594,B,A,A,A,B,B
595,C,A,A-,A-,A-,A
596,A,A,B+,B-,C,A
597,A-,A,A,A-,A-,B+
598,B,A+,B+,B+,A+,A-
599,C+,A,A,A-,D+,A+
600,B+,A-,A,A-,B,A
601,A+,A,A+,A,B+,A-
602,B-,B+,B+,D,A-,A
603,A-,A-,B-,B-,A+,A-
604,A,A,A-,A,B,A-
605,C,B+,D+,A-,C,A
606,A-,A,C,A-,A-,A-
607,A-,A-,A,C+,A-,B
608,A,A,B,C,B+,A
609,C+,A,B,A+,A-,A
610,B,B+,B-,C+,B-,A
611,A-,A,A,A,C-,A
612,B,B+,A-,A+,B,A-
613,B,A-,C,B,A-,A
614,A-,A,C,B,A,A-
615,A+,A,A,C,C,A-
616,B,B+,A-,B+,B-,A
617,A-,B+,A-,C,B-,A
618,A,A-,B+,B+,B,A
619,A,B+,A,A,B+,A
620,B-,A-,A-,A-,B-,A-
621,A-,A-,B-,B+,B-,A-
622,A+,A,A-,A+,B,A-
623,B+,A-,B+,C-,A,A-
624,A,A+,C+,B,A+,B+
625,C,A,C,B+,B+,A
626,A,A,C+,A,B+,A-
627,A+,A,A+,A-,A,A+
628,A-,A,A+,C-,B,A
629,A,A,C,B,A-,A-
630,B-,A-,A-,C+,A-,B+
631,A-,A,A-,B,B+,B
632,B-,B+,A-,B+,A+,B+
633,B-,B+,A-,B+,B-,A-
634,B+,A,C+,A,A-,B+
635,B,A-,B,C+,B+,B+
636,C+,B+,A+,B+,A-,A
637,A,A,A-,A+,B-,A-
638,A-,B+,C+,A-,B,B
639,B-,A,C+,A-,A-,A
640,A+,C+,A+,A,C+,A
641,B+,A,A,C+,A+,A
642,A+,A,D+,B,B,A
643,B-,A-,B-,C-,B+,A-
644,A,A,B,B+,B,A-
645,B-,A-,B+,A-,B-,A-
646,C,A,B-,A,A-,A+
647,A-,A,A,A,B+,A+
648,B+,A+,C,A-,A,A-
649,C,A-,A-,A,C+,A
650,B,A-,D+,B,A,A
651,B-,A-,C,D-,B-,A
652,C,A-,B+,E,A,B
653,A,A,C+,A,A-,A+
654,B+,C,A+,C,B-,A-
655,B+,B+,A-,A+,A-,A
656,A,A,B-,A,A-,A
657,A-,A-,A,C,A,A-
658,A-,A-,B+,A+,A-,A-
659,A,B+,A,A+,B,B+
660,B,A+,B,C,A,B+
661,B,A,D+,B+,A-,A-
662,A,A,C-,A+,A-,A
663,A,A-,A-,D,A+,A-
664,A,B-,C,A,C-,A
665,B+,A-,A-,C-,B+,B
666,C+,A,B,B,B-,A-
667,A,A-,B-,B,B,A
668,A,A,B+,A-,B,A
669,A-,B,A+,B+,B,B+
670,B-,A,C-,E,B,A
671,A-,B-,B+,A+,A,A
672,B+,A-,B,D-,A-,A-
673,A-,A-,C-,E,B-,B+
674,A-,A,A-,B,B+,B+
675,A-,B+,B+,A,B+,A+
676,B+,A+,A,B,B-,A-
677,A+,A-,C+,B,B-,A
678,B+,B,B,B,C,A
679,A,B,A,C+,B-,A
680,A-,A,C+,B+,C,A
681,A-,A,A,A-,A-,B+
682,B,A,A,A-,A-,A
683,A-,A-,A-,B-,A-,A-
684,B,A,A-,B+,C,A
685,A-,B+,B+,B,B-,A-
686,D,A-,A-,A+,B+,A
687,B,C,C+,C,A-,A+
688,B+,A,C,C,A,A-
689,A,A,B,B+,B,B
690,A-,A,B-,A,B+,A
691,B+,A,A-,C,C,A+
692,B+,A,B+,D,A-,B+
693,B+,B+,B-,E,B,A+
694,A-,A,B+,E,C,B+
695,A+,A-,A-,C,B,A-
696,B+,A,A,A,A,A+
697,B+,A,A,A,B,B+
698,C,A,C+,B+,C-,A
699,A,B+,A-,A,B+,A-
700,C,A,A,A-,A-,A+
701,A+,A-,B-,B+,A-,B
702,A,A-,B+,A+,B-,B+
703,B+,B+,A+,B,A-,A+
704,C-,B+,B+,B-,A-,A
705,B,A,B-,B,A-,A
706,A,B+,C,C-,A,A+
707,A-,B+,A-,A+,B,A-
708,C,A-,A-,A+,C+,A+
709,C,A-,B-,B-,B+,B
710,B,A,A,B+,B+,A
711,A,A,A-,C+,B-,A-
712,A,B+,B-,A-,B+,A
713,A,A,A,B,B-,A
714,A-,A,A,A-,A-,A-
715,A-,A+,A-,B,B-,B
716,A+,B+,C-,B+,C+,A
717,B,A,B+,B,C,A
718,B+,A,A,A,A-,B
719,A+,A,C,A,A,A-
720,A,B+,A-,D,C-,A
721,B,B+,A,E,B-,A
722,E,A-,A-,C+,B-,B+
723,D-,A,C,B,B-,A+
724,B,A,A-,A+,A,A-
725,A-,A,A-,A-,A-,A-
726,A,A,A-,A-,A-,A+
727,B-,A,C+,E,B+,A-
728,A-,A,A,B,B,A-
729,B,A,A-,A,B-,B+
730,C+,D+,A-,A,C+,A-
731,B+,A-,A-,A+,B+,A
732,B+,A,A-,B,A,A
733,A,B+,A-,B,C+,A-
734,A-,A-,C-,B+,B+,A-
735,A-,A,C+,D,B-,B
736,C,B+,B+,A+,A-,B+
737,A+,A,A,B,B,A
738,B-,A-,A+,B+,B+,A-
739,B-,A,A-,B,E,B-
740,B+,A+,A-,C,A-,B+
741,A,A,A,B,B-,A
742,B+,A-,B+,B+,C-,B
743,B-,A-,B+,B+,C+,A
744,B,B+,C-,C,B+,A-
745,A,A-,B,A,E,A
746,A,A-,D,A,A,B
747,B-,B+,C,A,D,B
748,B+,B+,C,B,A+,A+
749,B,A-,A-,A-,A+,A
750,C-,A,A-,B,A-,A+
751,B,A+,B-,E,B-,A
752,A-,A,A-,B+,A-,B
753,A,A,A,C+,B+,A
754,A-,A,B-,A,B,A-
755,B+,A-,C,B+,C+,B
756,A+,A-,A,D,B+,A-
757,B,A,B-,A,A-,A
758,A,A,A-,A,C-,A
759,B-,A,B,B+,A+,B+
760,B+,A,B-,B+,B+,A
761,A+,C,A-,B,A-,A
762,C+,B+,A,B,A,A-
763,B+,A,A-,C+,B-,A-
764,A-,A,A+,A-,B+,A-
765,B+,A-,B-,B+,B+,A-
766,A+,A,A-,C+,C-,A-
767,A+,A-,B-,A,C+,B
768,C,A,B+,C,B+,B
769,B,A,B-,B,B,B+
770,A-,A,A,A,A,B+
771,C,A,A-,B+,B,A+
772,B,C+,A,B+,A-,A
773,C-,A,B,A-,A,A
774,C-,A,B+,A-,E,A+
775,A-,B,A-,A+,A-,A-
776,B-,A,D+,B-,D+,B+
777,D,B,C+,A-,A-,B+
778,C+,A,A,A,A,B+
779,A+,A,A-,B+,A,A+
780,A-,B+,B+,B,B-,A-
781,A+,A,C-,A-,C,A
782,B,A,B-,A,D+,B+
783,B+,A,D+,A+,A-,A
784,B,A,A,C-,B+,B+
785,B,A,B,A+,B+,A
786,B+,B+,B+,E,B+,A-
787,A,A-,A,A,B+,A
788,B,A,C+,A,A-,A
789,A+,A,B+,B-,A+,B+
790,B-,A,A-,D,B-,A-
791,A-,B+,,E,A+,B+
792,B,A-,,C+,A-,A
793,C,A-,,C-,B,C+
794,B,A,,C+,B,B
795,E,A+,,A-,A-,A
