Date of submission,PAC WellBore ID,PAC String Type,WELL STATUS,WELL STATUS L1,HEALTHY/UNHEALTHY,UNHEALTHY CATEGORY,ISSUE,WFAM Score,Age,Age Factors,Score,Shallow Gas,Score2,Metal Loss Above Top Packer,Score3,Cement,Score4,Casing Thread,Score5,Corrosive Fluid,Score6,Final Score,WIRE,,,,
November,Peninsular,ANSI-A017-SS,IDLE,NC-RES,Healthy,Intact,,2,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A018-LS,IDLE,EI-RMD,Healthy,Intact,,2,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A018-SS,IDLE,NC-RES,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A019-LS,ACTIVE,Flowing,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A019-SS,Active,Flowing,Healthy,P3-Within Limit,,3,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A020-LS,Active,Flowing,Healthy,P3-Within Limit,,3,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A020-SS,IDLE,EI-RMD,Healthy,P3-Within Limit,,3,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A021R01-LS,IDLE,EI-MECH,Healthy,P3-Within Limit,Wellhead/Xmas Tree Passing,3,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A021R01-SS,Active,Flowing,Healthy,P3-Within Limit,,3,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A022R01-LS,Idle,NE-RM,Healthy,Intact,SCSSV Issue,2,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A022-SS,Idle,NC-RES,Healthy,Intact,,2,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A023-LS,IDLE,EI-MECH,Healthy,P3-Within Limit,,3,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A023-SS,IDLE,EI-MECH,Healthy,P3-Within Limit,,3,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A024-LS,ACTIVE,Flowing,Healthy,Intact,,2,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A024-SS,IDLE,EI-MECH,Healthy,Intact,,2,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A025-TS,IDLE,EI-RMD,Healthy,P3-Within Limit,SCSSV Issue,3,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A026-LS,ACTIVE,Flowing,Healthy,Intact,,2,15,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A026-SS,Active,Flowing,Healthy,Intact,,2,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A027-LS,ACTIVE,Flowing,Healthy,Intact,,2,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A027-SS,IDLE,EI-MECH,Healthy,Intact,,2,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A028S01-TS,ACTIVE,Flowing,Healthy,P3-Within Limit,SCSSV Issue,3,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A029-LS,IDLE,NC-RES,Healthy,P3-Within Limit,SCSSV Issue,3,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A029-SS,IDLE,NE-RM,Healthy,P3-Within Limit,SCSSV Issue,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A030-LS,IDLE,NC-RES,Healthy,Intact,,2,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A030-SS,IDLE,NE-RM,Healthy,P3-Within Limit,,3,14,10-30 years,1.05,No risk,1,Below 30%,1,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.3075,Low,,,,
November,Peninsular,ANSI-A031-TS,IDLE,NC-RES,Healthy,Intact,SCSSV Issue,2,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A032-TS,Idle,EI-RMD,Healthy,Intact,,2,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A033-LS,Idle,EI-RMD,Healthy,P3-Within Limit,SCSSV Issue,3,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A033-SS,Active,Flowing,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A034-LS,Idle,EI-RMD,Healthy,Intact,,2,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A034-SS,ACTIVE,Flowing,Healthy,Intact,,2,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A035-LS,IDLE,EI-RMD,Healthy,P3-Within Limit,,3,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A035-SS,IDLE,EI-RMD,Healthy,P3-Within Limit,SCSSV Issue,3,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A036-LS,Active,Flowing,Healthy,Intact,,2,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A036-SS,IDLE,NC-RES,Unhealthy,P2 - Exceed Limit,Combination SCSSV & Xmas Tree,4,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A037-LS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A037-SS,ACTIVE,Flowing,Healthy,P3-Within Limit,SCSSV Issue,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A038-TS,ACTIVE,Flowing,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A039-LS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,14,10-30 years,1.05,No risk,1,Below 30%,1,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.3075,Low,,,,
November,Peninsular,ANSI-A039-SS,Active,Flowing,Healthy,P3-Within Limit,,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A040-LS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A040-SS,ACTIVE,Flowing,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A041-LS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A041-SS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A042-LS,IDLE,NC-RES,Healthy,P3-Within Limit,SCSSV Issue,3,14,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A042-SS,IDLE,NC-RES,Healthy,Intact,,2,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A043-LS,ACTIVE,Flowing,Healthy,Intact,,2,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A043-SS,IDLE,EI-RMD,Healthy,Intact,,2,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A044-LS,IDLE,EI-AL,Healthy,P3-Within Limit,,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A044-SS,ACTIVE,Flowing,Healthy,P3-Within Limit,Combination SCSSV & Xmas Tree,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A045-LS,IDLE,EI-MECH,Healthy,Intact,Wellhead/Xmas Tree Passing,2,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-A045-SS,Active,Flowing,Healthy,P3-Within Limit,Combination SCSSV & Xmas Tree,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A046-LS,Active,Flowing,Healthy,P3-Within Limit,,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A046-SS,IDLE,EI-RMD,Healthy,P3-Within Limit,,3,13,10-30 years,1.05,No risk,1,Below 30%,1,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.3075,Low,,,,
November,Peninsular,ANSI-A047S01-LS,IDLE,EI-MECH,Unhealthy,P2 - Exceed Limit,Wellhead/Xmas Tree Passing,4,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.6305,High,,,,
November,Peninsular,ANSI-A047S01-SS,IDLE,EI-MECH,Healthy,P3-Within Limit,,3,13,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-A049-TS,Active,Flowing,Healthy,Intact,,2,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-B001-LS,IDLE,NC-RES,Healthy,Intact,High Annulus Pressure,2,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-B001-SS,IDLE,EI-RMD,Healthy,Intact,High Annulus Pressure,2,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-B002-LS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-B002-SS,IDLE,EI-AL,Healthy,P3-Within Limit,High Annulus Pressure,3,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-B003-LS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-B003-SS,ACTIVE,Flowing,Healthy,Intact,,2,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-B004-LS,IDLE,EI-RMD,Healthy,Intact,High Annulus Pressure,2,17,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-B004-SS,ACTIVE,Flowing,Healthy,P3-Within Limit,SCSSV Issue,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-B005-LS,ACTIVE,Flowing,Healthy,P3-Within Limit,,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-B005-SS,ACTIVE,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-B006-LS,Active,Flowing,Healthy,Intact,,2,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,2.31525,Low,,,,
November,Peninsular,ANSI-B006-SS,IDLE,NE-RM,Healthy,P3-Within Limit,High Annulus Pressure,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
November,Peninsular,ANSI-B007-LS,Active,Flowing,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,16,10-30 years,1.05,No risk,1,Unknown,1.05,Not fit for purpose,1.1,Fit for purpose,1,No,1,4.851,High,,,,
November,Peninsular,ANSI-B007-SS,Active,Flowing,Healthy,P3-Within Limit,,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Not fit for purpose,1.1,Fit for purpose,1,No,1,3.63825,Medium,,,,
November,Peninsular,ANSI-B008-LS,Active,Flowing,Unhealthy,P2 - Exceed Limit,SCSSV Issue,4,16,10-30 years,1.05,No risk,1,Below 30%,1,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,4.41,Medium,,,,
November,Peninsular,ANSI-B008-SS,Active,Flowing,Healthy,P3-Within Limit,,3,16,10-30 years,1.05,No risk,1,Unknown,1.05,Unknown Cement Quality,1.05,Fit for purpose,1,No,1,3.472875,Low,,,,
